"3" "4" "5" "6" "7" "8" "9" "10" "11" "12"
"1988" 0.198335381908102 0.0908079481229349 0.0603330973987271 0.160176609512237 0.410150471870028 1 0.152516432560305 0.656203228210389 0.771587192535151 1
"1989" 0.498180665258176 0.149556649820461 0.111313811477756 0.0671812666294758 0.21430744366663 0.473961854370701 0.775078075232792 0.311054865139707 1 0.837483579267595
"1990" 1 1 1 1 1 1 1 1 1 1
"1991" 1 1 1 1 1 1 1 1 1 1
"1992" 1 1 1 1 1 1 1 1 1 1
"1993" 1 1 1 1 1 1 1 1 1 1
"1994" 0.182108793978893 0.10788613760751 0.0332977331885159 0.0472782247662727 0.0887702208290258 0.289997670722784 0.0547144313935435 0.0904453581620463 0.024097089769369 0.74320536783017
"1995" 0.098556868498706 0.0374134415891426 0.0180918635696567 0.0220155016021561 0.0513324544296356 0.264086712450101 1 0.0793947423317601 0.215811818208641 0.022402320088249
"1996" 0.196514552632348 0.0533715801638946 0.0325134317731598 0.0162327434490315 0.0415369020345601 0.0723664283226906 1 0.733743618195891 0.211635901012727 1
"1997" 1 1 1 1 1 1 1 1 1 1
"1998" 0.447003306289881 0.122323900484051 0.0691203484513807 0.0647467380582518 0.0440068043150765 0.0503134963288507 0.0521107441366701 0.0973835319625673 0.529975240020272 1
"1999" 0.0942265327617984 0.0633699505708707 0.0253124221767903 0.0258760475554549 0.0115179514753274 0.0133560934417202 0.0141949835720223 0.0228668015355701 0.0759240819360912 0.577410458954118
"2000" 0.314997972119464 0.0941234456141152 0.124248762565665 0.0453124763982229 0.028209473329928 0.0350504495246985 0.0332625527134381 0.0406326129797136 0.154807163365714 0.869524506362542
"2001" 1 1 1 1 1 1 1 1 1 1
"2002" 1 1 1 1 1 1 1 1 1 1
"2003" 1 1 1 1 1 1 1 1 1 1
"2004" 1 1 1 1 1 1 1 1 1 1
"2005" 0.217860510991685 0.192299294783015 0.0429566589325619 0.0230144391803244 0.0207021710713958 0.0583328598404816 0.175642410399361 0.232132547088541 0.262350608017738 0.0754642907438195
"2006" 0.442717411635268 0.0292601348166283 0.0760674794690009 0.0451999387834531 0.0314557081710619 0.0259908654345941 0.0845810409006097 0.191198034620434 0.784433933717219 0.173749867441993
"2007" 0.606322977021105 0.056614779682324 0.0246696737398008 0.0857588229909071 0.0506102556546933 0.0327005941453478 0.034489341110533 0.196279759199566 0.104715950936561 0.293702372189266
"2008" 1.27177223064155 0.291265292958942 0.0864510739533516 0.0565451021076993 0.0946442936490159 0.136760152054945 0.0750102735838544 0.0999055781817291 0.167986254135206 0.24702220495214
"2009" 1 1 1 1 1 1 1 1 1 1
"2010" 1 1 1 1 1 1 1 1 1 1
"2011" 1 1 1 1 1 1 1 1 1 1
"2012" 1 1 1 1 1 1 1 1 1 1
"2013" 1 1 1 1 1 1 1 1 1 1
"2014" 1 1 1 1 1 1 1 1 1 1
"2015" 0.204227095808284 0.157277948485149 0.0720772990062862 0.0407399454157177 0.0698369435836925 0.0770986194123298 0.0285555232341782 0.0478284164127338 0.0147432617563421 0.0759128753813691
"2016" 0.37421068656806 0.343216429980618 0.141972599653666 0.228143214945492 0.17484888754938 0.232648858223565 0.163342749205542 0.180229095836513 0.14248646658046 0.145182025857527
"2017" 0.148110169249875 0.0593677055938452 0.0379780276002565 0.0342741176808803 0.0282240650920844 0.033436392264007 0.0372948641075274 0.0537410205237797 0.0213754190697906 0.0348173085097494
"2018" 0.106302256581201 0.0639317549511382 0.0345551810913228 0.0247151948527754 0.015932350164389 0.0377416934069517 0.0124071547465282 0.0205533676834118 0.0238988677302569 0.0112793758719293
"2019" 0.222532743123157 0.0385166643949949 0.0255361292277227 0.0403692782349266 0.0498054389263135 0.0145325372290782 0.0351239284462831 0.0180311089299691 0.0315762685981797 0.0438249045926118
