"age","CI5p","median","CI95p","mean","SE","RSE","year","n","v","i"
11,8073.28265708,16664.3873024,86828.99401688,34947.107753,37691.0177534841,1.07851608264345,1988,32,1420612819.29345,0.041
1,0,90871.2115284,189213.806722485,80652.8096680754,69505.3536665423,0.861784653908399,2019,NA,4830994188.31113,NA
2,0,1718.06018395,4955.870795975,1888.2111729204,1715.50741096387,0.908535780089987,2019,NA,2942965.67707196,NA
3,119832.031959215,353432.63963395,745806.987487365,377133.992565418,188278.918488589,0.499236139409868,2019,NA,35448951147.2327,0.36
4,216670.25960476,304058.54676515,415239.89343324,309335.087432803,61298.3571482313,0.198161668813426,2019,NA,3757488589.07212,0.304
5,701056.724594815,917483.75151325,1207019.6021567,932301.347222558,149938.200917148,0.16082589751032,2019,NA,22481464094.271,0.939
6,2594736.53613488,3746435.65823775,5010105.41813964,3752698.59014767,761670.192248043,0.202965992059083,2019,NA,580141481759.171,3.655
7,506067.71996685,730230.8213349,1051125.89864594,749858.274858503,169452.341552797,0.225979157974582,2019,NA,28714096057.7258,0.799
8,716154.037336495,883769.3354386,1071487.94922173,883174.737838069,106855.559148293,0.120990280371771,2019,NA,11418110520.8943,0.896
9,479715.349590155,646938.93323965,884891.664269935,660947.166712348,124966.320091063,0.189071572411248,2019,NA,15616581157.102,0.644
10,846586.476944645,1048682.4198036,1313337.02203743,1060840.95796824,143094.236573205,0.134887548881281,2019,NA,20475960540.4684,1.034
11,549046.979116115,732482.39351005,985837.01940059,747561.900250759,133895.1771143,0.179109150786559,2019,NA,17927918454.4698,0.74
12,290429.342068835,406018.7242358,570634.75012758,416226.694857802,88097.9952486638,0.211658685848492,2019,NA,7761256766.83359,NA
13,1385484.0839402,1790078.1549993,2425629.07073394,1836632.5401164,324060.040112855,0.176442501716929,2019,NA,105014909597.945,NA
14,104908.57305566,178573.49783965,276102.13773292,182800.858983018,53106.4666161705,0.29051541065846,2019,NA,2820296796.45443,NA
15,1428842.01048107,1811575.5982948,2298615.31756368,1838450.00804438,266107.90402117,0.144745792845484,2019,NA,70813416582.5402,NA
16,7210.169663715,48288.75217505,91190.99941515,48728.7331286172,24810.5380973093,0.509156230920739,2019,NA,615562800.678036,NA
17,174350.795562595,273270.37621775,415291.438553435,281878.136219687,72863.5589263304,0.258493120124587,2019,NA,5309098219.41082,NA
18,0,4412.95369125,18929.17376565,5801.5279344498,6417.23325926535,1.10612813241137,2019,NA,41180882.7038214,NA
19,0,8370.6654789,18827.28902907,8395.0927280406,6347.1687664443,0.756057017124302,2019,NA,40286551.3497261,NA
