"2"
"1991" 0.161281457111461
"1992" 0.121234476621978
"1993" 0.101393049236164
"1994" 0.0793332273120531
"1995" 0.144126355223591
"1996" 0.369420811986262
"1997" 0.580606631324496
"1998" 0.165994908769908
"1999" 0.164036833936141
"2000" 0.0990877213176227
"2001" 0.144669259542389
"2002" 0.175027986489163
"2003" 1
"2004" 1
"2005" 0.168061033445762
"2006" 0.0926868213235903
"2007" 0.177656820309964
"2008" 0.331229475714097
"2009" 0.356769362192306
"2010" 0.234664825541159
"2011" 0.176294356760474
"2012" 0.725448419788416
"2013" 0.211685529240067
"2014" 0.187529325415365
"2015" 0.128455391323025
"2016" 0.159026133416902
"2017" 0.184031838741283
"2018" 0.11378359030832
"2019" 0.202954974180846
